品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
七彩虹,游戏本,淘宝,已成交,2026-02,8768.76,8170.86,8170.86,退换订单,PC 经营采购,顾客0763,顾客0763,1**********,1**********
华硕（ASUS）,游戏本,拼多多,报价中,2026-08,,8372.1,1168.94,采购订单,PC 经营采购,顾客0764,顾客0764,1**********,1**********
宏碁（acer）,笔记本电脑,拼多多,撤销,2026-06,,6826.22,389.96,退换订单,PC 经营采购,顾客0765,顾客0765,1**********,1**********
宏碁（acer）,轻薄本,淘宝,已成交,2026-02,7166.58,6846.94,6846.94,采购订单,PC 经营采购,顾客0766,顾客0766,1**********,1**********
惠普(HP),轻薄本,拼多多,报价中,2026-05,,7081.46,1483.88,销售订单,PC 经营采购,顾客0767,顾客0767,1**********,1**********
华硕（ASUS）,显示器,天猫,撤销,2026-07,,7792.91,950.53,销售订单,PC 经营采购,顾客0768,顾客0768,1**********,1**********
华硕（ASUS）,电脑配件,拼多多,报价中,2026-06,,7412.84,1315.4,退换订单,PC 经营采购,顾客0769,顾客0769,1**********,1**********
微星,笔记本电脑,拼多多,已成交,2026-01,8762.73,9959.16,9959.16,采购订单,PC 经营采购,顾客0770,顾客0770,1**********,1**********
雷神,一体机,拼多多,报价中,2026-02,,9909.95,1458.01,销售订单,PC 经营采购,顾客0771,顾客0771,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-02,8202.62,7312.79,7312.79,采购订单,PC 经营采购,顾客0772,顾客0772,1**********,1**********
七彩虹,游戏本,抖音,已成交,2026-02,7674.66,8607.43,8607.43,采购订单,PC 经营采购,顾客0773,顾客0773,1**********,1**********
ThinkPad,台式整机,拼多多,已成交,2026-08,6907.61,6344.66,6344.66,退换订单,PC 经营采购,顾客0774,顾客0774,1**********,1**********
七彩虹,笔记本电脑,京东,撤销,2026-07,,8811.23,763.02,销售订单,PC 经营采购,顾客0775,顾客0775,1**********,1**********
联想（Lenovo）,笔记本电脑,天猫,待发布,2026-07,,7531.23,953.11,退换订单,PC 经营采购,顾客0776,顾客0776,1**********,1**********
宏碁（acer）,显示器,电商通,已成交,2026-07,6503.41,8322.9,8322.9,销售订单,PC 经营采购,顾客0777,顾客0777,1**********,1**********
华硕（ASUS）,轻薄本,电商通,已成交,2026-03,9303.85,9223.66,9223.66,销售订单,PC 经营采购,顾客0778,顾客0778,1**********,1**********
ThinkPad,游戏本,淘宝,已成交,2026-08,6696.35,6164.18,6164.18,采购订单,PC 经营采购,顾客0779,顾客0779,1**********,1**********
惠普(HP),轻薄本,抖音,撤销,2026-06,,7158.17,1423.22,销售订单,PC 经营采购,顾客0780,顾客0780,1**********,1**********
雷神,显示器,抖音,已成交,2026-02,9143.5,8613.73,8613.73,采购订单,PC 经营采购,顾客0781,顾客0781,1**********,1**********
联想（Lenovo）,一体机,抖音,已成交,2026-04,6216.79,7163.27,7163.27,退换订单,PC 经营采购,顾客0782,顾客0782,1**********,1**********
ThinkPad,轻薄本,快手,报价中,2026-05,,5965.03,1233.7,销售订单,PC 经营采购,顾客0783,顾客0783,1**********,1**********
机械革命,轻薄本,京东,已成交,2026-05,9489.5,9685.34,9685.34,销售订单,PC 经营采购,顾客0784,顾客0784,1**********,1**********
联想（Lenovo）,一体机,京东,撤销,2026-01,,5536.65,296.58,销售订单,PC 经营采购,顾客0785,顾客0785,1**********,1**********
宏碁（acer）,显示器,淘宝,撤销,2026-05,,7673.78,1325.33,退换订单,PC 经营采购,顾客0786,顾客0786,1**********,1**********
宏碁（acer）,游戏本,拼多多,已成交,2026-05,6560.67,6432.75,6432.75,销售订单,PC 经营采购,顾客0787,顾客0787,1**********,1**********
宏碁（acer）,一体机,天猫,新建采购,2026-06,,7784.47,1825.32,销售订单,PC 经营采购,顾客0788,顾客0788,1**********,1**********
华硕（ASUS）,电脑配件,电商通,已成交,2026-05,8769.36,8513.75,8513.75,退换订单,PC 经营采购,顾客0789,顾客0789,1**********,1**********
机械革命,电脑配件,抖音,撤销,2026-05,,8565.11,2464.52,销售订单,PC 经营采购,顾客0790,顾客0790,1**********,1**********
ThinkPad,游戏本,拼多多,报价中,2026-08,,7473.99,152.04,采购订单,PC 经营采购,顾客0791,顾客0791,1**********,1**********
微星,轻薄本,拼多多,撤销,2026-03,,9379.01,1912.97,退换订单,PC 经营采购,顾客0792,顾客0792,1**********,1**********
华硕（ASUS）,电脑配件,天猫,报价中,2026-02,,9916.8,2776.73,销售订单,PC 经营采购,顾客0793,顾客0793,1**********,1**********
微星,笔记本电脑,拼多多,已成交,2026-03,8520.36,10622.55,10622.55,采购订单,PC 经营采购,顾客0794,顾客0794,1**********,1**********
宏碁（acer）,电脑配件,电商通,已成交,2026-07,8210.74,8083.46,8083.46,采购订单,PC 经营采购,顾客0795,顾客0795,1**********,1**********
联想（Lenovo）,台式整机,拼多多,已成交,2026-02,7693.75,7937.52,7937.52,退换订单,PC 经营采购,顾客0796,顾客0796,1**********,1**********
惠普(HP),一体机,拼多多,新建采购,2026-04,,8834.57,2272.0,退换订单,PC 经营采购,顾客0797,顾客0797,1**********,1**********
七彩虹,轻薄本,拼多多,报价中,2026-06,,6821.84,380.36,销售订单,PC 经营采购,顾客0798,顾客0798,1**********,1**********
ThinkPad,台式整机,拼多多,撤销,2026-08,,7101.06,38.96,退换订单,PC 经营采购,顾客0799,顾客0799,1**********,1**********
雷神,游戏本,天猫,已成交,2026-01,8096.51,9138.9,9138.9,采购订单,PC 经营采购,顾客0800,顾客0800,1**********,1**********
宏碁（acer）,一体机,淘宝,已成交,2026-08,7403.28,7720.99,7720.99,销售订单,PC 经营采购,顾客0801,顾客0801,1**********,1**********
七彩虹,游戏本,电商通,已成交,2026-07,8738.64,9343.02,9343.02,销售订单,PC 经营采购,顾客0802,顾客0802,1**********,1**********
七彩虹,一体机,抖音,撤销,2026-02,,8268.69,2141.44,销售订单,PC 经营采购,顾客0803,顾客0803,1**********,1**********
微星,台式整机,快手,报价中,2026-02,,9395.9,2039.34,采购订单,PC 经营采购,顾客0804,顾客0804,1**********,1**********
雷神,笔记本电脑,天猫,已成交,2026-02,9763.92,9651.73,9651.73,退换订单,PC 经营采购,顾客0805,顾客0805,1**********,1**********
ThinkPad,显示器,天猫,撤销,2026-03,,7390.92,1756.81,采购订单,PC 经营采购,顾客0806,顾客0806,1**********,1**********
ThinkPad,一体机,拼多多,已成交,2026-06,6246.21,6379.73,6379.73,采购订单,PC 经营采购,顾客0807,顾客0807,1**********,1**********
七彩虹,显示器,拼多多,已成交,2026-06,8176.02,7417.77,7417.77,退换订单,PC 经营采购,顾客0808,顾客0808,1**********,1**********
宏碁（acer）,一体机,淘宝,撤销,2026-05,,7728.1,1051.12,采购订单,PC 经营采购,顾客0809,顾客0809,1**********,1**********
七彩虹,游戏本,京东,已成交,2026-04,8905.99,9286.81,9286.81,采购订单,PC 经营采购,顾客0810,顾客0810,1**********,1**********
华硕（ASUS）,笔记本电脑,京东,已成交,2026-02,7591.54,8229.17,8229.17,采购订单,PC 经营采购,顾客0811,顾客0811,1**********,1**********
联想（Lenovo）,轻薄本,天猫,已成交,2026-03,6185.12,5882.17,5882.17,销售订单,PC 经营采购,顾客0812,顾客0812,1**********,1**********
华硕（ASUS）,显示器,京东,待发布,2026-07,,7245.86,165.21,销售订单,PC 经营采购,顾客0813,顾客0813,1**********,1**********
机械革命,一体机,拼多多,已成交,2026-01,8541.14,10298.4,10298.4,退换订单,PC 经营采购,顾客0814,顾客0814,1**********,1**********
惠普(HP),一体机,抖音,撤销,2026-05,,8960.77,1599.02,退换订单,PC 经营采购,顾客0815,顾客0815,1**********,1**********
宏碁（acer）,电脑配件,抖音,已成交,2026-08,7562.81,7092.78,7092.78,销售订单,PC 经营采购,顾客0816,顾客0816,1**********,1**********
联想（Lenovo）,台式整机,抖音,撤销,2026-06,,6069.71,336.68,退换订单,PC 经营采购,顾客0817,顾客0817,1**********,1**********
ThinkPad,台式整机,拼多多,撤销,2026-06,,6822.75,166.76,退换订单,PC 经营采购,顾客0818,顾客0818,1**********,1**********
华硕（ASUS）,显示器,拼多多,已成交,2026-01,7630.49,10089.43,10089.43,退换订单,PC 经营采购,顾客0819,顾客0819,1**********,1**********
华硕（ASUS）,轻薄本,天猫,已成交,2026-05,8102.48,10071.62,10071.62,销售订单,PC 经营采购,顾客0820,顾客0820,1**********,1**********
机械革命,电脑配件,电商通,报价中,2026-01,,7863.45,1058.64,采购订单,PC 经营采购,顾客0821,顾客0821,1**********,1**********
雷神,轻薄本,天猫,已成交,2026-02,7801.73,8652.13,8652.13,采购订单,PC 经营采购,顾客0822,顾客0822,1**********,1**********
机械革命,轻薄本,拼多多,撤销,2026-05,,9330.1,2319.52,退换订单,PC 经营采购,顾客0823,顾客0823,1**********,1**********
联想（Lenovo）,笔记本电脑,天猫,已成交,2026-02,7442.52,7615.58,7615.58,销售订单,PC 经营采购,顾客0824,顾客0824,1**********,1**********
华硕（ASUS）,一体机,拼多多,已成交,2026-07,8813.39,7048.87,7048.87,采购订单,PC 经营采购,顾客0825,顾客0825,1**********,1**********
ThinkPad,台式整机,拼多多,报价中,2026-02,,7800.79,1542.95,采购订单,PC 经营采购,顾客0826,顾客0826,1**********,1**********
联想（Lenovo）,游戏本,拼多多,已成交,2026-02,6526.56,7383.57,7383.57,销售订单,PC 经营采购,顾客0827,顾客0827,1**********,1**********
惠普(HP),轻薄本,抖音,已成交,2026-05,7993.49,9018.38,9018.38,退换订单,PC 经营采购,顾客0828,顾客0828,1**********,1**********
微星,电脑配件,抖音,已成交,2026-08,8613.27,10635.12,10635.12,销售订单,PC 经营采购,顾客0829,顾客0829,1**********,1**********
微星,笔记本电脑,抖音,已成交,2026-03,10282.15,10313.73,10313.73,销售订单,PC 经营采购,顾客0830,顾客0830,1**********,1**********
微星,显示器,淘宝,已成交,2026-07,9305.82,8111.61,8111.61,退换订单,PC 经营采购,顾客0831,顾客0831,1**********,1**********
华硕（ASUS）,一体机,淘宝,已成交,2026-06,9039.82,8847.77,8847.77,采购订单,PC 经营采购,顾客0832,顾客0832,1**********,1**********
机械革命,电脑配件,天猫,已成交,2026-01,10525.2,10753.52,10753.52,销售订单,PC 经营采购,顾客0833,顾客0833,1**********,1**********
七彩虹,笔记本电脑,抖音,报价中,2026-07,,7042.04,607.1,销售订单,PC 经营采购,顾客0834,顾客0834,1**********,1**********
微星,显示器,抖音,新建采购,2026-04,,9993.9,7.29,销售订单,PC 经营采购,顾客0835,顾客0835,1**********,1**********
微星,游戏本,淘宝,报价中,2026-03,,9558.69,1092.5,采购订单,PC 经营采购,顾客0836,顾客0836,1**********,1**********
雷神,显示器,电商通,撤销,2026-01,,8718.04,1384.52,采购订单,PC 经营采购,顾客0837,顾客0837,1**********,1**********
宏碁（acer）,一体机,淘宝,撤销,2026-05,,7334.19,452.5,退换订单,PC 经营采购,顾客0838,顾客0838,1**********,1**********
微星,一体机,淘宝,已成交,2026-05,8724.03,10295.85,10295.85,采购订单,PC 经营采购,顾客0839,顾客0839,1**********,1**********
华硕（ASUS）,电脑配件,拼多多,已成交,2026-02,8250.57,7425.07,7425.07,采购订单,PC 经营采购,顾客0840,顾客0840,1**********,1**********
微星,笔记本电脑,拼多多,已成交,2026-08,10260.68,7986.27,7986.27,退换订单,PC 经营采购,顾客0841,顾客0841,1**********,1**********
华硕（ASUS）,电脑配件,电商通,新建采购,2026-07,,10094.14,2076.38,采购订单,PC 经营采购,顾客0842,顾客0842,1**********,1**********
雷神,笔记本电脑,电商通,已成交,2026-06,9901.0,8295.28,8295.28,采购订单,PC 经营采购,顾客0843,顾客0843,1**********,1**********
宏碁（acer）,笔记本电脑,京东,已成交,2026-03,6879.05,8526.13,8526.13,采购订单,PC 经营采购,顾客0844,顾客0844,1**********,1**********
机械革命,显示器,拼多多,已成交,2026-05,10471.62,8651.1,8651.1,退换订单,PC 经营采购,顾客0845,顾客0845,1**********,1**********
宏碁（acer）,轻薄本,京东,撤销,2026-05,,6335.77,629.09,退换订单,PC 经营采购,顾客0846,顾客0846,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-06,8187.09,7121.45,7121.45,销售订单,PC 经营采购,顾客0847,顾客0847,1**********,1**********
ThinkPad,电脑配件,抖音,已成交,2026-02,7280.55,8365.88,8365.88,退换订单,PC 经营采购,顾客0848,顾客0848,1**********,1**********
ThinkPad,电脑配件,淘宝,撤销,2026-08,,6645.27,1318.76,采购订单,PC 经营采购,顾客0849,顾客0849,1**********,1**********
机械革命,显示器,拼多多,撤销,2026-01,,10108.23,849.27,退换订单,PC 经营采购,顾客0850,顾客0850,1**********,1**********
宏碁（acer）,轻薄本,京东,已成交,2026-03,7714.9,8444.05,8444.05,销售订单,PC 经营采购,顾客0851,顾客0851,1**********,1**********
机械革命,一体机,拼多多,撤销,2026-03,,8228.24,2178.23,退换订单,PC 经营采购,顾客0852,顾客0852,1**********,1**********
宏碁（acer）,一体机,快手,新建采购,2026-05,,6880.24,593.06,销售订单,PC 经营采购,顾客0853,顾客0853,1**********,1**********
机械革命,笔记本电脑,淘宝,已成交,2026-03,8778.77,10403.2,10403.2,采购订单,PC 经营采购,顾客0854,顾客0854,1**********,1**********
宏碁（acer）,游戏本,京东,已成交,2026-06,7602.75,7537.09,7537.09,销售订单,PC 经营采购,顾客0855,顾客0855,1**********,1**********
ThinkPad,电脑配件,抖音,已成交,2026-05,6488.8,5943.07,5943.07,采购订单,PC 经营采购,顾客0856,顾客0856,1**********,1**********
雷神,一体机,淘宝,已成交,2026-05,7683.78,8708.02,8708.02,销售订单,PC 经营采购,顾客0857,顾客0857,1**********,1**********
华硕（ASUS）,电脑配件,抖音,已成交,2026-03,7378.54,10076.94,10076.94,退换订单,PC 经营采购,顾客0858,顾客0858,1**********,1**********
七彩虹,一体机,淘宝,报价中,2026-08,,9330.86,2145.38,销售订单,PC 经营采购,顾客0859,顾客0859,1**********,1**********
联想（Lenovo）,电脑配件,抖音,撤销,2026-07,,6840.45,62.74,退换订单,PC 经营采购,顾客0860,顾客0860,1**********,1**********
华硕（ASUS）,一体机,淘宝,已成交,2026-02,8717.38,9203.51,9203.51,采购订单,PC 经营采购,顾客0861,顾客0861,1**********,1**********
机械革命,电脑配件,抖音,撤销,2026-05,,10865.53,1982.01,退换订单,PC 经营采购,顾客0862,顾客0862,1**********,1**********
华硕（ASUS）,游戏本,天猫,已成交,2026-04,8708.85,7653.86,7653.86,采购订单,PC 经营采购,顾客0863,顾客0863,1**********,1**********
雷神,一体机,天猫,撤销,2026-03,,7587.58,2150.74,采购订单,PC 经营采购,顾客0864,顾客0864,1**********,1**********
机械革命,显示器,京东,已成交,2026-02,10705.92,10525.31,10525.31,退换订单,PC 经营采购,顾客0865,顾客0865,1**********,1**********
微星,电脑配件,淘宝,已成交,2026-03,9068.71,11154.34,11154.34,退换订单,PC 经营采购,顾客0866,顾客0866,1**********,1**********
雷神,显示器,抖音,已成交,2026-02,8929.54,9550.19,9550.19,采购订单,PC 经营采购,顾客0867,顾客0867,1**********,1**********
惠普(HP),电脑配件,淘宝,已成交,2026-04,8980.46,8927.97,8927.97,退换订单,PC 经营采购,顾客0868,顾客0868,1**********,1**********
ThinkPad,一体机,电商通,已成交,2026-02,7329.67,7423.21,7423.21,销售订单,PC 经营采购,顾客0869,顾客0869,1**********,1**********
雷神,游戏本,快手,报价中,2026-04,,10106.93,1426.44,销售订单,PC 经营采购,顾客0870,顾客0870,1**********,1**********
七彩虹,台式整机,天猫,已成交,2026-05,8480.78,7564.15,7564.15,采购订单,PC 经营采购,顾客0871,顾客0871,1**********,1**********
宏碁（acer）,显示器,电商通,撤销,2026-03,,6749.06,945.68,退换订单,PC 经营采购,顾客0872,顾客0872,1**********,1**********
华硕（ASUS）,一体机,拼多多,已成交,2026-08,7998.27,8092.01,8092.01,销售订单,PC 经营采购,顾客0873,顾客0873,1**********,1**********
机械革命,轻薄本,天猫,已成交,2026-01,10147.88,10927.01,10927.01,采购订单,PC 经营采购,顾客0874,顾客0874,1**********,1**********
惠普(HP),轻薄本,天猫,已成交,2026-06,8092.14,7881.33,7881.33,采购订单,PC 经营采购,顾客0875,顾客0875,1**********,1**********
华硕（ASUS）,笔记本电脑,抖音,已成交,2026-05,7632.9,8741.38,8741.38,销售订单,PC 经营采购,顾客0876,顾客0876,1**********,1**********
雷神,一体机,淘宝,已成交,2026-04,7630.67,8282.27,8282.27,销售订单,PC 经营采购,顾客0877,顾客0877,1**********,1**********
华硕（ASUS）,轻薄本,拼多多,撤销,2026-06,,9983.13,1156.94,退换订单,PC 经营采购,顾客0878,顾客0878,1**********,1**********
